poiid,name,feature,sightlevel,distance,com_count,com_score,heat_score
76456,崇州文庙,8,1,2,2,4.4,0.0
99497003,百丈长桥,3,1,3,1,5.0,0.0
90498457,郫县豆瓣博物馆,25,1,3,1,4.0,0.0
13753732,天国山,20,1,3,1,4.3,0.0
24648686,白云村,15,1,3,1,4.0,0.0
13641006,平安桥天主教堂,61,1,2,3,4.5,0.0
13765661,双流中心公园,28,1,2,2,4.7,0.0
36917101,葛仙山仙山花谷,3,1,2,1,2.9,0.0
31044810,慢时光鲜花小镇,9,1,3,1,3.0,0.0
13765174,彭州园,28,1,3,2,4.7,0.0
130578552,天府艺术公园,28,1,2,1,4.8,0.0
134016153,露营派·温江灯塔露营地,32,1,3,0,0.0,0.0
67830530,文殊坊文殊院历史文化保护区,3,1,2,2,4.6,0.0
98180309,天府国际慢城,20,4,2,1,4.2,0.0
51568351,樱花公园,28,1,3,0,0.0,0.0
55415187,Toga飞行跳伞运动基地,35,1,2,0,0.0,0.0
130262523,子云温泉,62,1,3,0,0.0,0.0
71542178,青龙湖湿地公园,63,1,1,2,3.9,0.0
118687010,蜀风雅韵·戏曲妆扮,3,1,2,0,0.0,0.0
24649051,电子科技大学,3,1,1,3,4.7,0.0
13759367,掷笔槽,20,1,3,2,4.6,0.0
62088827,露天音乐公园,28,1,2,2,4.5,0.0
39831159,三道堰镇乐水公园,64,1,3,1,3.2,0.0
20960313,花溪农场,3,1,4,1,3.2,0.0
52076448,崇州天演博物馆,7,1,2,2,4.8,0.0
134000212,中坝保护站,39,1,3,0,0.0,0.0
79725781,四川拾云营地,3,1,3,0,0.0,0.0
10758758,花水湾第一村温泉,47,1,1,3,4.4,0.0
13402583,生态大坪（成都小丹巴）,39,1,2,1,4.7,0.0
99587779,七彩玫瑰庄园,3,1,3,0,0.0,0.0
131134294,成都奇思妙想减压馆,34,1,1,3,5.0,0.0
33550838,江安河生态漂流,23,1,2,2,4.0,0.0
